xheight,stem,counter,darkness
465,170,145,11466411
464,170,146,11538319
472,180,136,11539247
463,170,147,11609917
471,180,137,11618182
463,170,149,11681204
471,180,138,11696789
462,170,150,11752180
470,180,139,11775066
477,190,130,11778000
461,170,151,11822845
469,180,140,11853015
476,190,131,11863232
460,170,152,11893200
468,180,142,11930634
475,190,132,11948116
467,180,143,12007925
474,190,133,12032653
467,180,144,12084886
474,190,135,12116842
466,180,145,12161518
473,190,136,12200684
465,180,146,12237821
472,190,137,12284179
464,180,147,12313795
471,190,138,12367326
463,180,149,12389440
478,200,130,12418421
471,190,139,12450126
463,180,150,12464756
477,200,131,12508321
470,190,140,12532579
462,180,151,12539742
476,200,132,12597856
461,180,152,12614400
469,190,142,12614684
475,200,133,12687025
468,190,143,12696442
474,200,135,12775828
467,190,144,12777853
467,190,145,12858916
474,200,136,12864266
466,190,146,12939632
473,200,137,12952338
465,190,147,13020000
472,200,138,13040044
478,210,130,13060895
464,190,149,13100021
471,200,139,13127385
478,210,131,13155482
463,190,150,13179695
471,200,140,13214360
477,210,132,13249685
463,190,151,13259021
470,200,142,13300970
462,190,152,13338000
476,210,133,13343505
469,200,143,13387213
475,210,135,13436940
468,200,144,13473091
474,210,136,13529992
467,200,145,13558604
474,210,137,13622659
467,200,146,13643751
479,220,130,13705421
473,210,138,13714943
466,200,147,13728532
478,220,131,13804714
472,210,139,13806843
465,200,149,13812947
464,200,150,13896997
471,210,140,13898358
478,220,132,13903604
463,200,151,13980681
471,210,142,13989490
477,220,133,14002092
463,200,152,14064000
470,210,143,14080238
476,220,135,14100178
469,210,144,14170602
475,220,136,14197861
468,210,145,14260582
474,220,137,14295143
467,210,146,14350178
480,230,130,14352000
474,220,138,14392022
467,210,147,14439391
479,230,131,14456016
473,220,139,14488499
466,210,149,14528219
478,230,132,14559612
472,220,140,14584574
465,210,150,14616663
478,230,133,14662787
471,220,142,14680247
464,210,151,14704724
477,230,135,14765541
471,220,143,14775517
463,210,152,14792400
476,230,136,14867875
470,220,144,14870385
469,220,145,14964851
475,230,137,14969789
468,220,146,15058915
474,230,138,15071282
467,220,147,15152576
474,230,139,15172355
467,220,149,15245835
473,230,140,15273007
466,220,150,15338693
472,230,142,15373238
465,220,151,15431147
471,230,143,15473049
464,220,152,15523200
471,230,144,15572440
470,230,145,15671410
469,230,146,15769960
468,230,147,15868089
467,230,149,15965797
467,230,150,16063085
466,230,151,16159953
465,230,152,16256400
